,Polarity_median,Polarity_mean,Polarity_mode,Polarity_stdev,PR_nb_comments,PR_state,lines_added,lines_removed,modified_files,modified_classes,class_loc,class_cboModified,class_wmc,class_lcom*,total_methods_qtt,method_loc,method_cboModified,method_wmc,parameters_qtt
82,0.00,0.14,0,0.44,17,1,80,29,4,2,6.50,2.00,-0.50,0.06,1.00,0.00,0.00,0.00,0.00
83,1.00,1.00,1,0.00,2,1,1,1,1,1,0.00,0.00,0.00,0.00,0.00,,,,
84,0.50,0.50,0,0.50,12,1,105,58,8,5,0.00,1.00,0.00,0.00,1.00,3.00,0.00,0.00,0.00
85,0.00,0.23,0,0.42,9,1,1104,0,15,9,65.00,6.00,10.00,0.55,7.00,5.00,0.00,1.00,0.00
86,0.00,0.00,0,0.00,13,-1,120,81,56,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
87,1.00,1.00,1,0.00,1,1,1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
88,0.00,0.20,0,0.40,19,1,321,312,32,31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
89,0.00,-0.25,0,0.43,13,1,182,96,6,6,7.50,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
90,0.00,0.17,0,0.37,8,1,28,8,8,1,6.00,0.00,1.00,0.04,1.00,6.50,1.50,2.00,1.50
91,0.00,0.00,0,0.00,5,1,1636,21,29,22,15.00,4.00,3.00,0.33,3.00,4.00,2.00,1.00,0.00
92,0.00,0.05,0,0.58,9,1,533,379,19,14,19.00,3.00,3.00,0.05,3.00,3.00,0.00,1.00,0.00
93,0.00,0.20,0,0.40,10,1,2426,1845,151,97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
94,0.00,0.00,0,0.00,7,1,36,359,14,3,-2.00,0.00,0.00,0.01,0.00,0.50,0.00,0.00,0.00
95,0.00,0.20,0,0.40,1,1,34,1,3,2,9.50,0.00,2.50,-0.00,0.50,0.00,0.00,0.00,-1.00
96,0.00,0.43,0,0.49,7,-1,421,2,13,12,14.50,2.50,2.50,0.17,2.50,3.00,0.00,1.00,0.00
97,0.00,0.00,0,0.00,10,1,346,287,25,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
98,0.00,0.04,0,0.20,17,1,300,102,23,19,7.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00
99,0.00,0.00,0,0.00,4,1,62,0,4,2,13.00,5.50,1.50,0.19,1.50,2.00,0.00,0.00,0.00
100,1.00,0.67,1,0.47,11,1,122,827,47,47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
101,0.00,0.14,0,0.64,14,-1,55,8,3,3,6.00,2.00,1.00,0.00,1.00,0.00,0.50,0.00,0.00
102,0.00,0.00,0,0.63,5,-1,1,175,10,10,-2.50,-1.00,-0.50,0.00,-0.50,0.00,0.00,0.00,0.00
103,0.00,0.00,0,0.00,2,1,5,18,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
104,0.00,0.14,0,0.57,44,1,317,13,8,8,7.50,4.00,3.50,0.00,1.00,1.00,0.00,1.00,0.00
105,0.00,-0.25,0,0.43,4,1,91,37,3,3,1.00,1.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00
106,0.00,0.25,0,0.54,16,1,1160,132,28,27,5.00,1.00,1.00,0.00,1.00,4.00,1.00,1.00,0.00
107,0.00,0.00,0,0.00,7,1,112,10,9,2,0.00,0.50,0.00,0.00,0.00,,,,
108,0.00,0.33,0,0.47,9,-1,69,40,5,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
109,0.50,0.50,0,0.50,6,-1,702,0,15,15,20.00,4.00,4.00,0.00,4.00,4.00,1.00,1.00,0.00
110,0.00,-0.17,0,0.37,9,-1,72,0,3,3,3.00,0.00,1.00,0.00,1.00,2.00,0.00,0.00,0.00
111,0.00,0.17,0,0.38,63,1,457,22,16,6,30.00,4.00,2.00,0.00,2.00,5.50,0.50,1.00,1.00
112,0.00,0.25,0,0.43,4,-1,72,0,2,2,17.00,4.50,4.00,0.17,3.00,4.50,0.00,1.00,0.00
113,0.00,0.15,0,0.36,16,1,193,68,28,25,0.00,0.00,0.00,0.00,0.00,4.00,0.00,1.00,0.00
114,0.00,0.33,0,0.47,9,1,244,0,7,7,3.00,2.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00
115,-1.00,-1.00,-1,0.00,1,1,79,8,2,2,19.50,2.00,3.50,0.03,2.00,4.50,0.50,1.50,0.00
116,0.00,0.27,0,0.62,9,1,436,4,6,3,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00
117,0.00,0.00,0,0.00,1,1,1,1,1,1,0.00,0.00,0.00,0.00,0.00,,,,
