,Polarity_median,Polarity_mean,Polarity_mode,Polarity_stdev,PR_nb_comments,PR_state,lines_added,lines_removed,modified_files,modified_classes,class_loc,class_cboModified,class_wmc,class_lcom*,total_methods_qtt,method_loc,method_cboModified,method_wmc,parameters_qtt
237,1.00,1.00,1,0.00,9,-1,2,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
238,0.00,0.43,0,0.49,7,-1,29,0,4,2,5.00,0.00,1.00,-0.02,0.50,1.50,0.00,0.50,0.00
239,0.00,0.00,0,0.00,1,-1,16,16,8,8,0.00,0.00,0.00,0.00,0.00,,,,
240,1.00,1.00,1,0.00,3,-1,13,22,2,2,-1.00,-1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
241,0.00,0.00,0,0.00,1,-1,55,70,1,1,-10.00,1.00,0.00,0.02,1.00,0.50,0.00,0.00,0.00
242,0.00,0.10,0,0.54,10,-1,17759,10005,5062,78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
243,-1.00,-1.00,-1,0.00,2,-1,364,10,16,7,3.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00
244,0.50,0.50,1,0.50,2,-1,32,0,4,3,7.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00
245,0.00,0.00,0,0.00,3,-1,5,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
246,-0.50,-0.50,0,0.50,3,-1,226,98,6,6,7.00,3.00,0.00,0.00,0.00,3.00,1.00,1.00,0.00
247,0.50,0.50,0,0.50,2,-1,4,4,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
248,0.00,0.33,0,0.47,9,-1,25,1,2,2,8.00,0.50,0.50,0.00,0.50,0.00,0.00,0.00,0.00
249,1.00,0.67,1,0.47,3,-1,411,24,8,8,14.00,5.00,2.00,0.00,2.00,4.00,2.00,1.00,0.00
250,0.00,0.00,0,0.00,4,-1,1,1,1,1,0.00,0.00,0.00,0.00,0.00,,,,
251,0.50,0.50,0,0.50,4,-1,17,6,2,2,2.50,0.00,0.50,0.08,0.50,0.50,0.00,0.00,0.00
252,1.00,1.00,1,0.00,2,-1,331,76,7,7,9.00,3.00,3.00,0.01,2.00,3.00,1.00,1.00,0.00
253,0.50,0.50,0,0.50,8,-1,562,114,10,10,15.00,4.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00
254,0.00,0.00,0,0.00,5,-1,9,3,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
255,0.00,0.25,0,0.43,16,-1,1082,2,24,21,9.00,6.00,2.00,0.00,2.00,3.00,0.00,1.00,1.00
256,0.00,0.00,0,0.00,1,-1,39,1,3,3,5.00,1.00,1.00,0.00,1.00,0.50,0.00,0.00,0.00
257,1.00,0.40,1,0.80,5,-1,1034,721,49,46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
258,0.00,0.08,0,0.27,4,-1,78,0,9,9,3.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
259,0.00,0.40,0,0.49,5,-1,16,6,5,5,0.00,0.00,0.00,0.00,0.00,,,,
260,1.00,1.00,1,0.00,1,-1,11,18,7,7,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,-1.00,0.00
261,1.00,1.00,1,0.00,1,-1,1,1,1,1,0.00,0.00,0.00,0.00,0.00,,,,
262,0.00,-0.25,0,0.66,8,-1,8,0,1,1,3.00,2.00,1.00,0.00,1.00,,,,
263,1.00,1.00,1,0.00,5,-1,84,10,3,3,2.50,-2.50,-1.50,0.00,-1.50,,,,
264,0.00,0.33,0,0.47,6,-1,4,7,4,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
265,0.00,-0.33,0,0.47,3,-1,6,6,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
266,0.00,-0.20,0,0.75,5,-1,8,7,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
267,0.00,0.00,0,0.00,1,-1,1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
268,0.50,0.50,0,0.50,4,-1,43,4,4,4,5.00,1.00,1.00,0.00,0.50,0.00,0.00,0.00,0.00
269,0.00,0.00,0,0.00,1,-1,4,8,4,4,0.00,0.00,-0.50,0.00,0.00,0.00,0.00,0.00,0.00
270,0.00,0.23,0,0.58,13,-1,29,15,5,4,-30.50,-0.50,-5.00,0.00,-3.00,0.00,1.00,1.00,0.00
271,0.00,0.00,0,0.00,2,-1,39,7,2,2,12.00,0.00,2.00,0.00,2.00,2.50,0.00,0.50,0.00
272,0.00,0.00,-1,0.89,5,-1,171,1,4,4,31.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
273,0.00,0.20,0,0.40,5,-1,406,0,8,7,12.00,4.50,3.00,0.00,3.00,3.00,0.00,1.00,0.50
274,0.00,0.17,0,0.37,8,-1,38,1,2,2,12.50,0.00,1.00,-0.00,1.00,0.00,0.00,0.00,0.00
275,0.00,0.17,0,0.37,6,-1,27,10,2,2,3.00,0.50,0.50,0.00,0.50,0.00,0.00,0.00,0.00
276,-0.50,-0.50,-1,0.50,3,-1,72,21,3,3,3.00,1.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00
277,0.00,0.20,0,0.40,5,-1,11,6,2,2,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
278,-0.50,-0.50,0,0.50,2,-1,6,6,2,2,0.00,0.00,0.00,0.00,0.00,,,,
279,0.00,0.00,0,0.00,3,-1,4,8,1,1,-3.00,0.00,0.00,0.00,0.00,,,,
280,0.00,0.00,0,0.00,17,-1,51,0,1,1,29.00,0.00,0.00,0.00,0.00,,,,
281,1.00,1.00,1,0.00,3,-1,30,13,1,1,4.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
282,0.50,0.43,1,0.62,6,-1,597,0,11,8,15.50,12.50,3.50,0.00,2.50,5.00,0.00,1.00,1.00
283,1.00,0.67,1,0.47,3,-1,16,3,2,2,4.00,0.00,0.50,0.00,0.50,,,,
284,0.00,0.00,0,0.00,4,-1,10,8,6,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
285,0.00,0.00,0,0.00,5,-1,5,5,5,5,0.00,0.00,0.00,0.00,0.00,,,,
286,0.00,0.33,0,0.47,3,-1,3,6,1,1,-6.00,0.00,0.00,0.00,0.00,,,,
287,1.00,0.62,1,0.48,8,-1,10,0,1,1,3.00,3.00,2.00,-0.33,0.00,3.00,2.00,2.00,0.00
288,0.00,0.40,0,0.49,5,-1,12,0,1,1,5.00,0.00,0.00,0.00,0.00,,,,
289,1.00,0.60,1,0.49,5,-1,5,0,1,1,4.00,0.00,1.00,0.01,1.00,0.50,1.00,0.00,0.00
290,0.50,0.50,0,0.50,15,-1,39,2,3,2,7.00,0.00,2.50,0.01,1.50,0.00,1.00,1.00,0.00
291,0.00,0.33,0,0.47,16,-1,706,74,48,46,3.00,0.00,1.00,0.00,1.00,7.50,1.50,2.00,2.00
292,0.00,0.00,0,0.00,1,-1,3,4,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
293,0.00,0.33,0,0.47,3,-1,3,2,1,1,0.00,0.00,0.00,0.00,0.00,,,,
294,0.00,0.30,0,0.46,7,-1,1212,2,12,9,36.00,6.00,3.50,0.00,3.50,3.00,1.00,1.00,1.00
295,0.50,0.50,1,0.50,2,-1,6,1,1,1,3.00,0.00,0.00,0.00,0.00,,,,
296,1.00,0.67,1,0.47,16,-1,389,157,11,10,2.00,0.00,0.00,0.00,0.00,3.00,0.00,1.00,0.00
297,0.00,0.00,0,0.00,3,-1,1,2,1,1,0.00,0.00,0.00,0.00,0.00,,,,
298,0.00,0.20,0,0.40,10,-1,402,16,2,2,126.50,5.50,15.00,-0.05,7.00,5.00,1.00,2.00,2.00
299,0.00,0.00,0,0.77,10,-1,93,2,3,3,4.00,1.00,1.00,0.00,1.00,4.00,0.00,1.00,1.00
300,0.00,-0.17,0,0.37,6,-1,19,7,2,2,0.50,2.00,0.00,0.02,0.00,5.50,1.50,1.50,0.50
301,0.00,0.17,0,0.56,10,-1,191,1,6,3,15.00,13.50,2.00,0.00,1.50,3.00,0.00,1.00,0.50
302,-1.00,-1.00,-1,0.00,1,-1,1,4,1,1,0.00,-1.00,0.00,0.00,0.00,,,,
303,1.00,0.67,1,0.47,3,-1,1,0,1,1,1.00,0.00,0.00,0.00,0.00,,,,
304,0.50,0.50,0,0.50,8,-1,20,12,1,1,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
305,0.00,0.14,0,0.44,9,-1,409,1,6,3,24.00,10.00,0.00,0.00,0.00,5.00,0.00,1.00,1.00
306,0.00,-0.10,0,0.54,10,-1,54,14,4,3,7.00,0.00,2.00,0.00,1.00,3.00,0.00,1.00,0.00
307,0.50,0.25,1,0.83,4,-1,29,2,5,3,5.00,0.00,1.00,0.00,1.00,-0.50,2.00,-0.50,-0.50
308,0.00,0.00,1,0.82,3,-1,199,20,15,6,10.50,0.00,2.00,0.01,1.50,1.00,1.00,0.00,0.00
309,0.00,0.40,0,0.49,10,-1,393,6,5,5,16.00,3.00,2.00,0.00,1.00,3.00,0.00,1.00,0.50
310,0.50,0.38,1,0.70,8,-1,413,1,6,4,45.50,8.50,2.50,0.02,2.50,3.00,1.00,1.00,0.00
311,0.00,0.24,0,0.43,10,-1,100,11,6,6,8.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
312,0.00,0.00,0,0.00,2,-1,242,0,6,4,20.00,5.00,6.00,0.00,6.00,3.00,0.00,1.00,0.00
313,0.00,0.22,0,0.53,18,-1,40,0,4,4,6.00,0.00,1.00,0.00,1.00,0.50,0.00,0.00,0.00
314,0.00,0.00,0,0.00,7,-1,346,370,129,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
315,1.00,1.00,1,0.00,2,-1,195,166,3,3,5.00,9.00,1.00,0.00,1.00,6.00,2.00,1.00,2.50
316,1.00,0.60,1,0.49,5,-1,27,12,1,1,11.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00
317,0.00,0.00,0,0.00,4,-1,6,5,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
318,0.00,-0.33,0,0.47,3,-1,4,0,1,1,0.00,0.00,0.00,0.00,0.00,,,,
319,0.00,0.00,0,0.53,7,-1,11,4,2,2,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
320,0.00,0.00,0,0.00,1,-1,56,56,26,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
321,0.00,0.18,0,0.51,17,-1,311,1,8,8,10.50,2.00,2.00,-0.02,2.00,3.00,0.00,1.00,0.00
322,0.00,0.12,0,0.33,8,-1,18,0,3,3,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
323,0.00,0.28,0,0.60,25,-1,608,120,13,12,11.00,1.50,0.00,0.00,0.00,3.00,0.50,1.00,1.00
324,0.00,0.00,0,0.00,6,-1,213,1,5,4,10.00,5.00,2.00,0.00,2.00,3.00,0.00,1.00,1.00
325,0.00,0.00,0,0.00,1,-1,2,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
326,0.00,0.00,0,0.00,3,-1,0,14,1,1,-6.00,0.00,1.00,0.00,0.00,,,,
327,0.00,0.00,0,0.00,11,-1,2,0,1,1,0.00,1.00,0.00,0.00,0.00,,,,
328,0.00,0.00,0,0.00,3,-1,65,29,2,2,1.50,0.50,-0.50,-0.00,1.00,0.50,0.50,0.00,0.00
329,0.00,0.00,0,0.00,3,-1,71,72,51,49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
330,0.00,-0.14,0,0.35,14,-1,601,135,8,8,27.50,5.00,2.00,0.21,2.00,3.00,1.00,1.00,0.00
331,0.00,0.00,0,0.00,1,-1,40,0,1,1,28.00,0.00,6.00,-0.06,2.00,5.00,0.00,1.00,0.00
332,0.00,0.00,0,0.00,1,-1,33,33,18,14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
333,0.00,0.33,0,0.47,3,-1,38,57,9,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
334,0.50,0.50,0,0.50,6,-1,10,1,2,2,3.00,0.00,0.50,0.00,0.50,0.00,1.00,0.00,0.00
335,0.00,-0.33,0,0.47,3,-1,3,3,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
336,0.50,0.50,0,0.50,2,-1,1,0,1,1,0.00,0.00,0.00,0.00,0.00,,,,
337,0.00,0.20,0,0.40,5,-1,346,73,4,4,31.50,0.50,2.00,0.00,2.00,0.00,0.00,0.00,0.00
338,0.00,0.00,0,0.00,1,-1,446,19,10,9,19.50,6.00,2.50,0.00,1.00,0.00,0.00,0.00,0.00
339,0.00,0.25,0,0.43,8,-1,1,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
340,0.00,0.00,0,0.00,1,-1,2,60,3,3,-1.00,0.00,-1.00,-0.01,0.00,1.50,0.00,0.50,0.00
341,0.00,0.22,0,0.42,9,-1,4,2,1,1,2.00,0.00,0.00,0.00,0.00,,,,
342,1.00,0.67,1,0.47,6,-1,69,2,4,3,13.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
343,0.00,0.33,0,0.47,6,-1,1,1,1,1,0.00,0.00,0.00,0.00,0.00,,,,
344,0.00,0.20,0,0.40,5,-1,6,1,1,1,4.00,1.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00
345,0.50,0.50,0,0.50,6,-1,46,0,2,2,14.50,0.00,2.00,0.00,2.00,-12.00,8.00,-3.00,-2.00
346,1.00,1.00,1,0.00,1,-1,290,331,56,56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
347,0.00,0.08,0,0.47,13,-1,4,0,1,1,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
348,0.50,0.50,0,0.50,3,-1,61,1,2,2,18.50,1.00,3.00,0.01,2.00,0.50,0.50,0.00,0.00
349,0.00,0.16,0,0.49,19,-1,10,7,2,2,0.50,0.00,0.00,0.02,0.50,0.00,0.00,0.00,0.00
350,0.00,0.20,0,0.40,5,-1,14,14,10,2,0.00,0.00,0.00,0.00,0.00,,,,
351,-1.00,-1.00,-1,0.00,5,-1,113,184,3,3,9.00,1.00,5.00,0.01,5.00,3.00,1.00,1.00,0.00
352,0.00,0.11,0,0.31,9,1,19,0,2,2,6.00,0.00,1.00,0.00,0.50,3.00,0.00,1.00,0.00
353,0.00,0.00,0,0.00,2,-1,3,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
354,1.00,0.67,1,0.47,4,-1,480,190,49,1,0.00,0.00,0.00,0.83,0.00,0.00,0.00,0.00,0.00
355,0.00,0.00,0,0.00,1,1,54,8,4,4,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
356,0.00,0.21,0,0.41,2,-1,75,53,2,1,18.00,8.00,1.00,0.00,1.00,4.00,2.00,1.00,0.00
357,0.00,0.33,0,0.47,3,-1,51,2,2,2,12.00,0.50,1.00,-0.01,1.00,0.00,0.00,0.00,0.00
358,0.00,0.00,0,0.00,1,-1,22,7,2,2,0.50,0.00,0.50,0.00,0.50,3.00,9.00,1.00,0.00
359,0.00,0.12,0,0.33,6,1,38,1,2,2,8.50,0.50,1.00,-0.01,0.50,2.50,0.00,0.50,0.00
360,1.00,1.00,1,0.00,5,-1,2,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
361,0.00,0.20,0,0.40,4,-1,103,12,4,4,6.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
362,1.00,1.00,1,0.00,1,1,276,231,6,6,7.50,3.50,1.00,0.01,1.00,3.50,0.00,1.00,0.00
363,0.00,0.32,0,0.47,10,-1,231,27,5,5,6.00,0.50,1.00,-0.01,1.00,3.00,0.00,1.00,0.00
364,0.50,0.50,1,0.50,3,1,33,4,2,2,7.00,0.00,0.50,0.02,0.50,0.00,0.00,0.00,0.00
365,0.00,0.00,0,0.00,4,1,35,1,2,2,9.00,0.50,1.50,-0.07,1.50,1.00,0.00,0.00,0.00
366,0.00,0.00,0,0.00,15,1,12,2,2,2,2.50,0.00,0.00,-0.01,0.50,0.00,0.00,0.00,0.00
367,0.00,0.00,0,0.00,4,1,60,0,2,2,11.50,1.50,2.00,0.01,2.00,4.00,1.00,1.00,0.00
368,0.00,0.00,0,0.00,4,1,1,11,1,1,-7.00,0.00,-2.00,0.00,0.00,-7.00,0.00,-2.00,0.00
369,1.00,1.00,1,0.00,3,1,38,1,2,2,8.50,0.50,1.50,-0.09,1.50,3.00,0.00,1.00,0.00
370,0.50,0.50,0,0.50,2,1,90,26,7,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
371,0.00,-0.25,0,0.43,8,1,3857,18,13,7,6.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
372,0.50,0.50,1,0.50,2,-1,242,103,7,7,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
373,0.00,0.00,0,0.00,7,-1,6,2,1,1,0.00,0.00,0.00,0.00,0.00,,,,
374,0.00,0.00,0,0.00,14,-1,17,0,2,2,4.50,0.50,1.50,0.02,1.00,1.00,0.00,0.00,0.00
375,0.00,0.25,0,0.43,5,1,1158,4,7,7,64.50,15.50,16.00,0.75,5.50,5.00,2.00,1.00,0.00
376,1.00,0.67,1,0.47,3,-1,6,4,1,1,1.00,0.00,0.00,0.00,0.00,,,,
377,0.00,0.20,0,0.40,7,-1,139,22,2,2,30.50,2.50,1.00,-0.02,1.00,5.00,0.00,1.00,0.00
378,0.00,0.00,0,0.00,1,-1,468,468,127,32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
379,0.00,0.30,0,0.46,13,-1,726,56,4,4,77.00,3.50,16.50,0.41,10.00,4.00,1.00,1.00,0.00
380,0.00,0.00,1,0.85,11,-1,17,0,2,2,3.00,0.50,0.50,-0.00,0.50,0.00,0.00,0.00,0.00
381,0.50,0.50,0,0.50,46,-1,4879,20,62,52,19.00,5.00,4.00,0.03,4.00,3.00,0.00,1.00,1.00
382,0.00,0.00,0,0.00,1,1,154,111,2,1,49.00,14.00,3.00,0.17,3.00,4.00,2.00,1.00,0.00
383,0.50,0.50,1,0.50,6,-1,9,0,2,2,3.00,0.00,1.50,0.00,0.50,0.00,0.50,0.00,0.00
384,0.00,0.00,0,0.32,17,-1,300,1,8,8,11.00,5.00,2.00,0.00,1.00,3.00,0.00,1.00,0.00
385,0.00,0.10,0,0.54,3,1,235,82,3,3,21.00,3.00,3.00,0.05,3.00,4.00,3.00,1.00,1.00
386,0.50,0.50,0,0.50,14,1,48,3,3,3,10.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00
387,1.00,0.60,1,0.49,5,1,1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
388,0.00,0.00,0,0.00,3,1,2,2,1,1,0.00,0.00,0.00,0.00,0.00,,,,
389,0.00,0.33,0,0.47,3,-1,125,25,5,3,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
390,1.00,1.00,1,0.00,1,-1,97451,29148,3377,89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
391,0.00,0.33,0,0.47,6,-1,159,0,2,2,16.50,5.00,4.00,0.00,3.00,4.00,6.00,1.00,0.00
392,1.00,0.75,1,0.43,7,-1,16,1,2,2,5.00,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00
393,0.00,0.00,0,0.39,9,1,492,88,4,3,65.00,13.00,7.00,0.67,5.00,6.00,1.00,1.00,0.00
394,0.00,0.00,0,0.00,1,1,16,0,2,2,3.00,0.00,0.50,-0.00,0.50,1.00,0.00,0.00,0.00
395,0.00,0.00,0,0.00,1,1,2,2,1,1,0.00,0.00,0.00,0.00,0.00,,,,
396,0.00,0.25,0,0.43,3,1,35,30,2,2,3.50,0.00,1.50,0.00,1.00,0.00,0.00,0.00,0.00
397,0.00,0.14,0,0.35,5,-1,66,1,2,2,18.50,0.00,3.00,0.01,2.50,2.50,0.00,0.50,0.00
398,0.00,0.00,0,0.00,4,-1,60,0,2,2,20.50,1.00,3.50,0.03,2.00,4.00,3.00,1.00,0.00
399,1.00,0.80,1,0.40,5,-1,2,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
400,0.00,0.00,0,0.00,12,-1,88,3,4,4,9.50,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
401,0.00,0.03,0,0.30,11,-1,115,19,2,2,40.00,0.50,7.50,0.31,3.50,1.50,3.00,0.50,0.00
402,0.50,0.50,1,0.50,2,-1,64,9,3,3,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
403,1.00,0.71,1,0.45,14,-1,395,22,6,6,8.00,0.00,1.00,0.02,0.00,3.00,0.00,1.00,0.00
404,1.00,1.00,1,0.00,2,-1,40,9,9,8,1.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00
405,0.00,0.22,0,0.42,9,-1,141,16,4,4,12.00,2.00,0.50,0.08,0.50,0.00,0.00,0.00,0.00
406,0.00,0.33,0,0.47,3,-1,12,2,2,2,3.00,0.00,0.00,0.00,0.00,,,,
407,0.50,0.50,0,0.50,6,-1,1,2,1,1,0.00,0.00,0.00,0.00,0.00,,,,
408,0.00,0.47,0,0.50,5,-1,73,5,5,5,7.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
409,0.00,0.00,0,0.00,4,-1,48,4,2,2,15.50,0.50,1.00,-0.03,1.00,0.00,1.00,0.00,0.00
410,1.00,1.00,1,0.00,8,1,132,16,8,8,6.50,1.00,1.50,0.00,1.50,1.00,0.00,0.00,0.00
411,0.00,0.00,0,0.00,2,1,6,6,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
412,0.00,0.03,0,0.18,13,-1,211,12,2,2,56.00,1.50,5.50,0.01,3.00,3.50,4.00,1.00,0.00
413,0.00,0.17,0,0.37,3,-1,133,1,2,2,13.50,1.00,2.00,0.02,2.00,0.00,0.00,0.00,0.00
414,0.50,0.50,1,0.50,1,1,21,5,2,2,6.50,0.00,0.50,0.01,0.50,0.00,0.00,0.00,0.00
415,0.00,0.27,0,0.45,7,-1,171,0,5,3,13.00,2.00,3.00,0.00,2.00,4.50,0.00,1.00,0.00
416,0.00,0.23,1,0.80,13,1,27,3,2,2,7.00,1.50,1.00,-0.06,0.50,0.00,0.00,0.00,0.00
417,0.00,0.20,0,0.40,5,-1,0,1,1,1,-1.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00
418,0.00,0.09,0,0.28,4,-1,141,6,4,4,11.50,2.50,1.50,-0.00,1.50,2.00,0.00,0.50,0.00
419,0.00,0.26,0,0.64,8,-1,287,80,3,3,67.00,4.00,19.00,0.01,4.00,0.00,1.00,0.00,0.00
420,0.00,0.27,0,0.49,17,-1,385,48,16,9,6.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
421,1.00,0.57,1,0.49,7,-1,3,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
422,1.00,1.00,1,0.00,1,-1,51,4,2,2,7.50,1.50,1.00,0.00,1.00,1.00,0.00,0.00,0.00
423,0.00,0.00,0,0.00,4,1,261,61,8,8,6.00,0.00,1.50,0.00,1.50,0.00,0.00,0.00,0.00
424,0.00,0.00,0,0.00,4,-1,533,348,31,26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
425,0.00,0.10,0,0.30,4,-1,24,1,1,1,10.00,0.00,0.00,0.00,0.00,,,,
426,0.00,0.00,0,0.00,3,-1,3,10,1,1,-8.00,0.00,0.00,0.00,0.00,,,,
427,0.00,0.00,0,0.00,2,-1,22,0,2,2,3.50,4.00,1.00,-0.01,1.00,0.50,0.50,0.00,0.00
428,0.00,0.18,0,0.39,4,1,139,23,2,2,30.50,3.00,4.00,0.20,5.00,5.00,1.00,2.00,1.00
